Player1_ID;Player2_ID;Season;First_Meet_Club
1;34;1990-91;POR
1;73;1994-95;PHI
1;148;1992-93;TOT
1;161;1992-93;MIL
1;176;1992-93;BOS
1;230;1994-95;PHI
1;234;1992-93;MIL
1;252;1992-93;BOS
1;302;1992-93;TOT
1;352;1994-95;TOT
1;393;1994-95;TOT
1;455;1994-95;PHI
1;484;1992-93;MIL
1;511;1994-95;TOT
1;521;1992-93;BOS
1;547;1994-95;SAC
1;566;1990-91;POR
1;606;1994-95;PHI
1;706;1994-95;SAC
1;845;1990-91;POR
1;851;1992-93;TOT
1;862;1992-93;TOT
1;934;1994-95;PHI
1;995;1990-91;POR
1;1007;1992-93;MIL
1;1102;1992-93;BOS
1;1121;1990-91;POR
1;1128;1990-91;POR
1;1184;1992-93;MIL
1;1200;1994-95;TOT
1;1342;1994-95;PHI
1;1358;1992-93;TOT
1;1371;1992-93;BOS
1;1416;1994-95;PHI
1;1427;1992-93;BOS
1;1510;1992-93;TOT
1;1547;1994-95;PHI
1;1558;1994-95;SAC
1;1575;1994-95;PHI
1;1607;1992-93;TOT
1;1642;1994-95;TOT
1;1696;1992-93;TOT
1;1729;1994-95;PHI
1;1761;1993-94;BOS
1;1972;1994-95;TOT
1;1986;1994-95;SAC
1;2029;1994-95;PHI
1;2063;1992-93;TOT
1;2302;1992-93;TOT
1;2303;1990-91;POR
1;2350;1994-95;TOT
1;2353;1992-93;BOS
1;2364;1994-95;TOT
1;2372;1992-93;BOS
1;2497;1994-95;SAC
1;2507;1992-93;TOT
1;2536;1992-93;BOS
1;2538;1993-94;BOS
1;2569;1992-93;MIL
1;2571;1994-95;TOT
1;2651;1994-95;PHI
1;2654;1992-93;MIL
1;2681;1994-95;TOT
1;2730;1992-93;MIL
1;2786;1992-93;BOS
1;2812;1992-93;BOS
1;3037;1992-93;MIL
1;3054;1994-95;TOT
1;3096;1992-93;TOT
1;3187;1992-93;TOT
1;3210;1993-94;BOS
1;3237;1992-93;MIL
1;3260;1991-92;POR
1;3279;1992-93;BOS
1;3348;1992-93;TOT
1;3356;1994-95;PHI
1;3367;1990-91;POR
1;3375;1994-95;SAC
1;3389;1992-93;BOS
1;3411;1994-95;SAC
1;3426;1990-91;POR
1;3462;1994-95;PHI
1;3468;1992-93;MIL
1;3482;1993-94;BOS
1;3493;1992-93;TOT
