first_number,second_number,date,how_many
33,486,2006,3
33,493,2006,2
33,3011,2006,3
33,7036,2006,2
33,7587,2006,3
33,7883,2006,2
33,8406,2006,2
33,9654,2006,3
33,48140,2006,2
33,64248,2006,2
33,89414,2008,2
33,95954,2006,2
33,129976,2007,2
33,158896,2006,2
33,161322,2006,2
34,391,2008,2
34,3011,2006,3
34,3442,2008,2
34,3448,2009,2
34,6625,2009,2
34,6933,2006,5
34,6985,2008,2
34,7587,2006,2
34,7883,2006,6
34,8406,2006,2
34,8724,2006,2
34,8732,2008,3
34,8875,2006,4
34,8952,2008,3
34,10104,2009,2
34,31462,2011,2
34,40576,2008,2
34,42492,2008,2
34,42586,2006,2
34,42587,2008,5
34,44543,2008,2
34,48140,2006,2
34,56091,2006,5
34,59971,2008,2
34,60012,2009,2
34,62903,2009,2
34,63565,2006,2
34,63769,2008,3
34,65933,2009,3
34,66693,2008,3
34,66929,2009,2
34,68036,2009,2
34,74154,2008,2
34,86473,2006,2
34,88900,2009,2
34,91169,2008,3
34,93706,2008,3
34,95954,2006,4
34,108796,2009,3
34,114953,2006,3
34,115982,2006,2
34,118887,2009,3
34,129363,2008,3
34,130573,2008,2
34,131856,2009,2
34,131915,2007,2
34,131917,2006,2
34,131935,2009,2
34,138142,2008,2
34,140322,2008,3
34,140801,2006,3
34,140803,2009,3
34,144102,2008,2
34,148069,2009,2
34,152093,2009,2
34,152874,2008,2
34,152883,2008,2
34,152973,2009,2
34,156419,2008,2
34,157158,2009,2
34,158896,2006,2
34,161153,2008,5
34,161318,2008,2
34,161322,2006,2
34,161350,2008,2
34,161359,2007,3
34,161361,2008,2
34,166425,2008,3
34,166865,2008,2
34,170332,2009,3
34,174042,2008,4
34,179719,2006,2
34,183392,2008,3
34,195279,2008,5
34,195302,2008,2
34,204193,2008,3
34,207528,2006,2
34,209981,2006,3
34,232889,2009,2
34,232890,2006,2
34,232896,2009,2
34,235827,2007,2
34,236998,2009,2
34,237005,2007,2
34,241105,2009,4
34,243576,2009,2
34,255835,2009,2
34,273919,2008,2
34,283823,2008,2
34,285338,2008,2
34,285354,2008,2
34,295421,2006,2
34,297252,2006,2
34,317625,2009,2
34,317652,2009,3
34,326879,2011,2
34,333902,2009,2
34,337543,2009,2
34,339592,2009,3
34,345225,2009,3
34,348171,2009,2
34,383699,2009,3
34,383943,2008,3
34,403181,2008,2
34,406303,2006,2
34,418309,2008,2
34,433912,2008,5
34,449750,2009,2
34,455332,2006,4
34,465222,2009,2
34,498553,2006,2
34,513441,2009,2
34,513482,2009,2
34,520955,2009,2
34,522231,2009,2
34,527419,2006,4
34,547232,2009,2
34,547249,2008,2
34,557519,2007,2
34,581939,2006,4
34,597253,2009,2
34,614274,2008,5
34,615229,2009,2
34,624489,2009,2
34,626847,2009,2
34,629836,2008,2
34,631432,2008,4
34,643910,2009,2
34,644542,2009,2
34,700796,2008,2
34,706636,2008,2
34,727822,2009,2
34,739768,2008,2
34,784507,2008,2
34,785556,2009,2
34,843472,2009,2
34,857630,2009,2
34,858571,2009,2
34,858787,2009,2
34,900512,2009,2
34,921541,2008,3
34,949900,2008,3
34,1003039,2009,2
34,1006033,2009,2
34,1009665,2009,2
34,1103781,2011,2
34,1138697,2008,2
34,1504387,2009,2
