Player1_ID;Player2_ID;Season;Fist_Meet_Club
1;34;1990-91;POR
1;73;1994-95;PHI
1;161;1992-93;MIL
1;176;1992-93;BOS
1;230;1994-95;PHI
1;234;1992-93;MIL
1;252;1992-93;BOS
1;455;1994-95;PHI
1;484;1992-93;MIL
1;521;1992-93;BOS
1;547;1994-95;SAC
1;566;1991-92;POR
1;606;1994-95;PHI
1;706;1994-95;SAC
1;845;1990-91;POR
1;851;1993-94;BOS
1;934;1994-95;PHI
1;995;1990-91;POR
1;1007;1992-93;MIL
1;1102;1992-93;BOS
1;1121;1990-91;POR
1;1128;1990-91;POR
1;1164;1993-94;BOS
1;1184;1992-93;MIL
1;1342;1994-95;PHI
1;1371;1992-93;BOS
1;1416;1994-95;PHI
1;1427;1992-93;BOS
1;1547;1994-95;PHI
1;1558;1994-95;SAC
1;1575;1994-95;PHI
1;1729;1994-95;PHI
1;1761;1993-94;BOS
1;1986;1994-95;SAC
1;2029;1994-95;PHI
1;2303;1990-91;POR
1;2353;1992-93;BOS
1;2372;1992-93;BOS
1;2497;1994-95;SAC
1;2536;1992-93;BOS
1;2538;1993-94;BOS
1;2569;1992-93;MIL
1;2651;1994-95;PHI
1;2654;1992-93;MIL
1;2730;1992-93;MIL
1;2786;1992-93;BOS
1;2812;1992-93;BOS
1;3037;1992-93;MIL
1;3187;1992-93;MIL
1;3210;1993-94;BOS
1;3237;1992-93;MIL
1;3260;1991-92;POR
1;3279;1992-93;BOS
1;3356;1994-95;PHI
1;3367;1990-91;POR
1;3375;1994-95;SAC
1;3389;1992-93;BOS
1;3411;1994-95;SAC
1;3426;1990-91;POR
1;3462;1994-95;PHI
1;3468;1992-93;MIL
1;3482;1993-94;BOS
1;3577;1994-95;SAC
1;3602;1992-93;MIL
1;3608;1992-93;MIL
1;3623;1990-91;POR
1;3778;1992-93;MIL
1;3901;1994-95;SAC
1;3980;1994-95;SAC
1;4077;1992-93;MIL
1;4103;1992-93;MIL
1;4104;1991-92;POR
1;4313;1994-95;SAC
1;4323;1994-95;PHI
1;4490;1994-95;PHI
1;4497;1992-93;BOS
1;4498;1994-95;SAC
1;4519;1993-94;BOS
1;4536;1991-92;POR
1;4602;1990-91;POR
1;4640;1992-93;BOS
1;4663;1994-95;PHI
1;4674;1994-95;SAC
1;4695;1994-95;SAC
1;4718;1992-93;BOS
