Id;name;year;link
1;Alaa Abdelnaby;1991;/players/a/abdelal01.html
2;Kareem Abdul-Jabbar*;1970;/players/a/abdulka01.html
3;Walt Hazzard;1965;/players/a/abdulma01.html
4;Mahmoud Abdul-Rauf;1991;/players/a/abdulma02.html
5;Tariq Abdul-Wahad;1998;/players/a/abdulta01.html
6;Zaid Abdul-Aziz;1969;/players/a/abdulza01.html
7;Shareef Abdur-Rahim;1997;/players/a/abdursh01.html
8;Tom Abernethy;1977;/players/a/abernto01.html
9;Forest Able;1957;/players/a/ablefo01.html
10;John Abramovic;1947;/players/a/abramjo01.html
11;Álex Abrines;2017;/players/a/abrinal01.html
12;Alex Acker;2006;/players/a/ackeral01.html
13;Don Ackerman;1954;/players/a/ackerdo01.html
14;Mark Acres;1988;/players/a/acresma01.html
15;Bud Acton;1968;/players/a/actonbu01.html
16;Quincy Acy;2013;/players/a/acyqu01.html
17;Alvan Adams;1976;/players/a/adamsal01.html
18;Don Adams;1971;/players/a/adamsdo01.html
19;George Adams;1973;/players/a/adamsge01.html
20;Hassan Adams;2007;/players/a/adamsha01.html
21;Jaylen Adams;2019;/players/a/adamsja01.html
22;Jordan Adams;2015;/players/a/adamsjo01.html
23;Michael Adams;1986;/players/a/adamsmi01.html
24;Steven Adams;2014;/players/a/adamsst01.html
25;Rafael Addison;1987;/players/a/addisra01.html
26;Bam Adebayo;2018;/players/a/adebaba01.html
27;Deng Adel;2019;/players/a/adelde01.html
28;Rick Adelman;1969;/players/a/adelmri01.html
29;Jeff Adrien;2011;/players/a/adrieje01.html
30;Arron Afflalo;2008;/players/a/afflaar01.html
31;Maurice Ager;2007;/players/a/agerma01.html
32;Mark Aguirre;1982;/players/a/aguirma01.html
33;Blake Ahearn;2008;/players/a/ahearbl01.html
34;Danny Ainge;1982;/players/a/aingeda01.html
35;Matthew Aitch;1968;/players/a/aitchma01.html
36;Alexis Ajinça;2009;/players/a/ajincal01.html
37;Henry Akin;1967;/players/a/akinhe01.html
38;Josh Akognon;2013;/players/a/akognjo01.html
39;DeVaughn Akoon-Purcell;2019;/players/a/akoonde01.html
40;Solomon Alabi;2011;/players/a/alabiso01.html
41;Mark Alarie;1987;/players/a/alarima01.html
42;Gary Alcorn;1960;/players/a/alcorga01.html
43;Furkan Aldemir;2015;/players/a/aldemfu01.html
44;Cole Aldrich;2011;/players/a/aldrico01.html
45;LaMarcus Aldridge;2007;/players/a/aldrila01.html
46;Chuck Aleksinas;1985;/players/a/aleksch01.html
47;Cliff Alexander;2016;/players/a/alexacl01.html
48;Cory Alexander;1996;/players/a/alexaco01.html
49;Courtney Alexander;2001;/players/a/alexaco02.html
50;Gary Alexander;1994;/players/a/alexaga01.html
51;Joe Alexander;2009;/players/a/alexajo01.html
52;Nickeil Alexander-Walker;2020;/players/a/alexani01.html
53;Victor Alexander;1992;/players/a/alexavi01.html
54;Steve Alford;1988;/players/a/alforst01.html
55;Rawle Alkins;2019;/players/a/alkinra01.html
56;Bill Allen;1968;/players/a/allenbi01.html
57;Bob Allen;1969;/players/a/allenbo01.html
58;Grayson Allen;2019;/players/a/allengr01.html
59;Jarrett Allen;2018;/players/a/allenja01.html
60;Jerome Allen;1996;/players/a/allenje01.html
61;Kadeem Allen;2018;/players/a/allenka01.html
62;Lavoy Allen;2012;/players/a/allenla01.html
63;Lucius Allen;1970;/players/a/allenlu01.html
64;Malik Allen;2002;/players/a/allenma01.html
65;Randy Allen;1989;/players/a/allenra01.html
66;Ray Allen*;1997;/players/a/allenra02.html
67;Tony Allen;2005;/players/a/allento01.html
68;Willie Allen;1972;/players/a/allenwi01.html
69;Odis Allison;1972;/players/a/allisod01.html
70;Lance Allred;2008;/players/a/allrela01.html
71;Darrell Allums;1981;/players/a/allumda01.html
72;Morris Almond;2008;/players/a/almonmo01.html
73;Derrick Alston;1995;/players/a/alstode01.html
74;Rafer Alston;2000;/players/a/alstora01.html
75;Peter Aluma;1999;/players/a/alumape01.html
76;John Amaechi;1996;/players/a/amaecjo01.html
77;Ashraf Amaya;1996;/players/a/amayaas01.html
78;Al-Farouq Aminu;2011;/players/a/aminual01.html
79;Lou Amundson;2007;/players/a/amundlo01.html
80;Alan Anderson;2006;/players/a/anderal01.html
81;Andrew Anderson;1968;/players/a/anderan01.html
82;Antonio Anderson;2010;/players/a/anderan02.html
83;Bob Anderegg;1960;/players/a/anderbo01.html
84;Chris Andersen;2002;/players/a/anderch01.html
85;Cliff Anderson;1968;/players/a/andercl01.html
86;Dan Anderson;1968;/players/a/anderda01.html
87;Dan Anderson;1975;/players/a/anderda02.html
88;David Andersen;2010;/players/a/anderda03.html
89;Derek Anderson;1998;/players/a/anderde01.html
90;Dwight Anderson;1983;/players/a/anderdw01.html
91;Eric Anderson;1993;/players/a/anderer01.html
92;Greg Anderson;1988;/players/a/andergr01.html
93;James Anderson;2011;/players/a/anderja01.html
94;Jerome Anderson;1976;/players/a/anderje01.html
95;J.J. Anderson;1983;/players/a/anderjj01.html
96;Justin Anderson;2016;/players/a/anderju01.html
97;Kenny Anderson;1992;/players/a/anderke01.html
98;Kim Anderson;1979;/players/a/anderki01.html
99;Kyle Anderson;2015;/players/a/anderky01.html
100;Michael Anderson;1989;/players/a/andermi01.html
101;Nick Anderson;1990;/players/a/anderni01.html
102;Richard Anderson;1983;/players/a/anderri01.html
103;Ron Anderson;1985;/players/a/anderro01.html
104;Ryan Anderson;2009;/players/a/anderry01.html
105;Shandon Anderson;1997;/players/a/andersh01.html
106;Wally Anderzunas;1970;/players/a/anderwa01.html
