name;link;number
 Cezary Pazura ;/person/Cezary+Pazura-81;81
 Robert Więckiewicz ;/person/Robert+Wi%C4%99ckiewicz-8931;8931
 Bogusław Linda ;/person/Bogus%C5%82aw+Linda-66;66
 Janusz Gajos ;/person/Janusz+Gajos-311;311
 Marcin Dorociński ;/person/Marcin+Doroci%C5%84ski-42489;42489
 Maciej Stuhr ;/person/Maciej+Stuhr-360;360
 Andrzej Grabowski I ;/person/Andrzej+Grabowski-501;501
 Arkadiusz Jakubik ;/person/Arkadiusz+Jakubik-64298;64298
 Tomasz Kot ;/person/Tomasz+Kot-148066;148066
 Agata Kulesza ;/person/Agata+Kulesza-74184;74184
 Marek Kondrat ;/person/Marek+Kondrat-253;253
 Zbigniew Zamachowski ;/person/Zbigniew+Zamachowski-390;390
 Marian Dziędziel ;/person/Marian+Dzi%C4%99dziel-7043;7043
 Maja Ostaszewska ;/person/Maja+Ostaszewska-7883;7883
 Janusz Chabior ;/person/Janusz+Chabior-48152;48152
 Tomasz Karolak ;/person/Tomasz+Karolak-91169;91169
 Jan Frycz ;/person/Jan+Frycz-456;456
 Borys Szyc ;/person/Borys+Szyc-56091;56091
 Piotr Adamczyk ;/person/Piotr+Adamczyk-399;399
 Jerzy Stuhr ;/person/Jerzy+Stuhr-110;110
 Jacek Braciak ;/person/Jacek+Braciak-8689;8689
 Daniel Olbrychski ;/person/Daniel+Olbrychski-270;270
 Sebastian Fabijański ;/person/Sebastian+Fabija%C5%84ski-1009341;1009341
 Piotr Głowacki I ;/person/Piotr+G%C5%82owacki-241108;241108
 Andrzej Chyra ;/person/Andrzej+Chyra-393;393
 Jarosław Boberek ;/person/Jaros%C5%82aw+Boberek-10172;10172
 Franciszek Pieczka ;/person/Franciszek+Pieczka-412;412
 Dawid Ogrodnik ;/person/Dawid+Ogrodnik-1223717;1223717
 Piotr Fronczewski ;/person/Piotr+Fronczewski-38;38
 Agnieszka Dygant ;/person/Agnieszka+Dygant-8405;8405
 Eryk Lubos ;/person/Eryk+Lubos-152937;152937
 Joanna Kulig ;/person/Joanna+Kulig-629836;629836
 Adam Woronowicz ;/person/Adam+Woronowicz-42587;42587
 Artur Żmijewski I ;/person/Artur+%C5%BBmijewski-433;433
 Leon Niemczyk ;/person/Leon+Niemczyk-463;463
 Łukasz Simlat ;/person/%C5%81ukasz+Simlat-141783;141783
 Piotr Stramowski ;/person/Piotr+Stramowski-1259099;1259099
 Bartłomiej Topa ;/person/Bart%C5%82omiej+Topa-2864;2864
 Mirosław Zbrojewicz ;/person/Miros%C5%82aw+Zbrojewicz-462;462
 Danuta Stenka ;/person/Danuta+Stenka-401;401
 Olga Bołądź ;/person/Olga+Bo%C5%82%C4%85d%C5%BA-631432;631432
 Krzysztof Kowalewski ;/person/Krzysztof+Kowalewski-367;367
 Paweł Domagała ;/person/Pawe%C5%82+Domaga%C5%82a-411164;411164
 Jan Englert ;/person/Jan+Englert-34;34
 Tomasz Oświeciński ;/person/Tomasz+O%C5%9Bwieci%C5%84ski-1584736;1584736
 Małgorzata Kożuchowska ;/person/Ma%C5%82gorzata+Ko%C5%BCuchowska-3361;3361
 Olaf Lubaszenko ;/person/Olaf+Lubaszenko-259;259
 Magdalena Cielecka ;/person/Magdalena+Cielecka-354;354
 Kinga Preis ;/person/Kinga+Preis-3011;3011
 Jakub Gierszał ;/person/Jakub+Giersza%C5%82-1100397;1100397
 Adam Ferency ;/person/Adam+Ferency-310;310
 Witold Pyrkosz ;/person/Witold+Pyrkosz-373;373
 Artur Barciś ;/person/Artur+Barci%C5%9B-349;349
 Bronisław Pawlik ;/person/Bronis%C5%82aw+Pawlik-403;403
 Michał Żebrowski ;/person/Micha%C5%82+%C5%BBebrowski-224;224
 Krzysztof Pieczyński I ;/person/Krzysztof+Pieczy%C5%84ski-429;429
 Olgierd Łukaszewicz ;/person/Olgierd+%C5%81ukaszewicz-405;405
 Katarzyna Figura ;/person/Katarzyna+Figura-35;35
 Agnieszka Więdłocha ;/person/Agnieszka+Wi%C4%99d%C5%82ocha-921542;921542
 Tadeusz Łomnicki I ;/person/Tadeusz+%C5%81omnicki-468;468
 Krzysztof Stroiński ;/person/Krzysztof+Stroi%C5%84ski-5761;5761
 Wojciech Paszkowski ;/person/Wojciech+Paszkowski-86065;86065
 Roma Gąsiorowska ;/person/Roma+G%C4%85siorowska-124299;124299
 Krystyna Janda ;/person/Krystyna+Janda-54;54
 Jan Machulski ;/person/Jan+Machulski-395;395
 Krzysztof Globisz ;/person/Krzysztof+Globisz-427;427
